number,name,status
1,PEP 1 – PEP Purpose and Guidelines,
102,PEP 102 – Doing Python Micro Releases,
202,PEP 202 – List Comprehensions,
101,PEP 101 – Doing Python Releases 101,
200,PEP 200 – Python 2.0 Release Schedule,
160,PEP 160 – Python 1.6 Release Schedule,
201,PEP 201 – Lockstep Iteration,
103,PEP 103 – Collecting information about git,
204,PEP 204 – Range Literals,
203,PEP 203 – Augmented Assignments,
20,PEP 20 – The Zen of Python,
13,PEP 13 – Python Language Governance,
12,PEP 12 – Sample reStructuredText PEP Template,
11,PEP 11 – CPython platform support,
42,PEP 42 – Feature Requests,
100,PEP 100 – Python Unicode Integration,
324,PEP 324 – subprocess - New process module,
493,PEP 493 – HTTPS verification migration tools for Python 2.7,
640,PEP 640 – Unused variable syntax,
662,PEP 662 – Editable installs via virtual wheels,
661,PEP 661 – Sentinel Values,
663,"PEP 663 – Standardizing Enum str(), repr(), and format() behaviors",
660,PEP 660 – Editable installs for pyproject.toml based builds (wheel based),
658,PEP 658 – Serve Distribution Metadata in the Simple Repository API,
686,PEP 686 – Make UTF-8 mode default,
659,PEP 659 – Specializing Adaptive Interpreter,
8103,PEP 8103 – 2022 Term Steering Council election,
8100,PEP 8100 – January 2019 Steering Council election,
8101,PEP 8101 – 2020 Term Steering Council election,
8102,PEP 8102 – 2021 Term Steering Council election,
8104,PEP 8104 – 2023 Term Steering Council election,
8016,PEP 8016 – The Steering Council Model,
8015,PEP 8015 – Organization of the Python community,
8014,PEP 8014 – The Commons Governance Model,
8010,PEP 8010 – The Technical Leader Governance Model,
8013,PEP 8013 – The External Council Governance Model,
8011,PEP 8011 – Python Governance Model Lead by Trio of Pythonistas,
8002,PEP 8002 – Open Source Governance Survey,
8012,PEP 8012 – The Community Governance Model,
8001,PEP 8001 – Python Governance Voting Process,
8000,PEP 8000 – Python Language Governance Proposal Overview,
3154,PEP 3154 – Pickle protocol version 4,
3155,PEP 3155 – Qualified name for classes and functions,
3333,PEP 3333 – Python Web Server Gateway Interface v1.0.1,
3156,PEP 3156 – Asynchronous IO Support Rebooted: the “asyncio” Module,
3152,PEP 3152 – Cofunctions,
3153,PEP 3153 – Asynchronous IO support,
3151,PEP 3151 – Reworking the OS and IO exception hierarchy,
3148,PEP 3148 – futures - execute computations asynchronously,
3149,PEP 3149 – ABI version tagged .so files,
3150,PEP 3150 – Statement local namespaces (aka “given” clause),
3147,PEP 3147 – PYC Repository Directories,
3146,PEP 3146 – Merging Unladen Swallow into CPython,
3145,PEP 3145 – Asynchronous I/O For subprocess.Popen,
3144,PEP 3144 – IP Address Manipulation Library for the Python Standard Library,
3143,PEP 3143 – Standard daemon process library,
3142,PEP 3142 – Add a “while” clause to generator expressions,
3141,PEP 3141 – A Type Hierarchy for Numbers,
3140,"PEP 3140 – str(container) should call str(item), not repr(item)",
3139,PEP 3139 – Cleaning out sys and the “interpreter” module,
3137,PEP 3137 – Immutable Bytes and Mutable Buffer,
3138,PEP 3138 – String representation in Python 3000,
3136,PEP 3136 – Labeled break and continue,
3135,PEP 3135 – New Super,
3134,PEP 3134 – Exception Chaining and Embedded Tracebacks,
3133,PEP 3133 – Introducing Roles,
3132,PEP 3132 – Extended Iterable Unpacking,
3131,PEP 3131 – Supporting Non-ASCII Identifiers,
3129,PEP 3129 – Class Decorators,
3130,PEP 3130 – Access to Current Module/Class/Function,
3127,PEP 3127 – Integer Literal Support and Syntax,
3128,PEP 3128 – BList: A Faster List-like Type,
3125,PEP 3125 – Remove Backslash Continuation,
3123,PEP 3123 – Making PyObject_HEAD conform to standard C,
3126,PEP 3126 – Remove Implicit String Concatenation,
3122,PEP 3122 – Delineation of the main module,
3124,"PEP 3124 – Overloading, Generic Functions, Interfaces, and Adaptation",
3121,PEP 3121 – Extension Module Initialization and Finalization,
3119,PEP 3119 – Introducing Abstract Base Classes,
3120,PEP 3120 – Using UTF-8 as the default source encoding,
3117,PEP 3117 – Postfix type declarations,
3116,PEP 3116 – New I/O,
3118,PEP 3118 – Revising the buffer protocol,
3115,PEP 3115 – Metaclasses in Python 3000,
3114,PEP 3114 – Renaming iterator.next() to iterator.__next__(),
3113,PEP 3113 – Removal of Tuple Parameter Unpacking,
3111,PEP 3111 – Simple input built-in in Python 3000,
3112,PEP 3112 – Bytes literals in Python 3000,
3110,PEP 3110 – Catching Exceptions in Python 3000,
3107,PEP 3107 – Function Annotations,
3109,PEP 3109 – Raising Exceptions in Python 3000,
3108,PEP 3108 – Standard Library Reorganization,
3106,"PEP 3106 – Revamping dict.keys(), .values() and .items()",
3105,PEP 3105 – Make print a function,
3102,PEP 3102 – Keyword-Only Arguments,
3103,PEP 3103 – A Switch/Case Statement,
3104,PEP 3104 – Access to Names in Outer Scopes,
3099,PEP 3099 – Things that will Not Change in Python 3000,
3101,PEP 3101 – Advanced String Formatting,
3100,PEP 3100 – Miscellaneous Python 3.0 Plans,
3002,PEP 3002 – Procedure for Backwards-Incompatible Changes,
3003,PEP 3003 – Python Language Moratorium,
3001,PEP 3001 – Procedure for reviewing and improving standard library modules,
3000,PEP 3000 – Python 3000,
754,PEP 754 – IEEE 754 Floating Point Special Values,
727,PEP 727 – Documentation Metadata in Typing,
801,PEP 801 – Reserved,
726,PEP 726 – Module,
725,PEP 725 – Specifying external dependencies in pyproject.toml,
723,PEP 723 – Embedding pyproject.toml in single-file scripts,
722,PEP 722 – Dependency specification for single-file scripts,
721,PEP 721 – Using tarfile.data_filter for source distribution extraction,
715,PEP 715 – Disabling bdist_egg distribution uploads on PyPI,
719,PEP 719 – Python 3.13 Release Schedule,
720,PEP 720 – Cross-compiling Python packages,
718,PEP 718 – Subscriptable functions,
713,PEP 713 – Callable Modules,
712,PEP 712 – Adding a “converter” parameter to dataclasses.field,
714,PEP 714 – Rename dist-info-metadata in the Simple API,
711,PEP 711 – PyBI: a standard format for distributing Python Binaries,
709,PEP 709 – Inlined comprehensions,
708,PEP 708 – Extending the Repository API to Mitigate Dependency Confusion Attacks,
705,PEP 705 – TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,
710,PEP 710 – Recording the provenance of installed packages,
704,PEP 704 – Require virtual environments by default for package installers,
707,PEP 707 – A simplified signature for __exit__ and __aexit__,
706,PEP 706 – Filter for tarfile.extractall,
701,PEP 701 – Syntactic formalization of f-strings,
700,PEP 700 – Additional Fields for the Simple API for Package Indexes,
699,PEP 699 – Remove private dict version field added in PEP 509,
702,PEP 702 – Marking deprecations using the type system,
698,PEP 698 – Override Decorator for Static Typing,
696,PEP 696 – Type defaults for TypeVarLikes,
697,PEP 697 – Limited C API for Extending Opaque Types,
703,PEP 703 – Making the Global Interpreter Lock Optional in CPython,
695,PEP 695 – Type Parameter Syntax,
694,PEP 694 – Upload 2.0 API for Python Package Repositories,
693,PEP 693 – Python 3.12 Release Schedule,
692,PEP 692 – Using TypedDict for more precise **kwargs typing,
691,PEP 691 – JSON-based Simple API for Python Package Indexes,
690,PEP 690 – Lazy Imports,
689,PEP 689 – Unstable C API tier,
685,PEP 685 – Comparison of extra names for optional distribution dependencies,
687,PEP 687 – Isolating modules in the standard library,
688,PEP 688 – Making the buffer protocol accessible in Python,
684,PEP 684 – A Per-Interpreter GIL,
683,"PEP 683 – Immortal Objects, Using a Fixed Refcount",
682,PEP 682 – Format Specifier for Signed Zero,
681,PEP 681 – Data Class Transforms,
